boundary,pred_score,pred_cut_mib,pred_hailo_risk,pred_hailo_p1ctx,pred_peak_right_mib,pred_link_ms,pred_total_ms,pred_imbalance,h2t_fps,h2t_stream_latency_ms,h2t_stage1_ms,h2t_stage2_ms,h2t_cycle_ms,h2t_composed_ms,t2h_fps,t2h_stream_latency_ms,t2h_stage1_ms,t2h_stage2_ms,t2h_cycle_ms,t2h_composed_ms,hailo_full_ms,hailo_composed_ms,trt_full_ms,cuda_full_ms,h2t_overhead_ms,t2h_overhead_ms,pred_rank_score,actual_rank_h2t,actual_rank_t2h,actual_rank_hailo_composed
216,1.137601874272921,5.46875,2.054193643043405,0.5160267327952766,22.65625,1.6384,16.530870393162395,0.554959380441025,36.203834983449184,66.1155848550455,20.773831182547536,18.521586336040247,27.62138321692043,35.5513334274292,34.07177793989244,46.818703248087935,28.87503113015555,17.21737986372318,29.34980386888365,42.67952919006348,24.760398864746094,31.091084480285645,33.997788429260254,62.52618312835693,6.847552034372896,0.47477273872810244,5,8,8,8
162,1.0189838812006746,5.46875,2.100870849893209,0.49969520257513167,22.65625,1.6384,17.31840453724054,0.39836869094167815,42.68268831855822,63.344045532479264,16.73926888421799,23.442355251366585,23.428702347345,33.49964141845703,37.198387589806735,43.14581479411572,26.353285366591688,16.065523833579693,26.88288565158196,40.02739429473877,24.70752239227295,26.87588214874268,33.959784507751465,61.85564994812012,-0.01365290402158692,0.5296002849902735,4,4,4,1
232,1.6184421732704242,10.1318359375,2.1302857650705507,0.48940156996919065,10.9130859375,3.0354285714285716,17.379686334554336,0.6639641701065867,25.84168032451138,68.84097200236283,23.234251125055987,7.888177288502145,38.69717400116117,45.68070888519287,30.873751035275333,52.60581879216867,31.37682837162477,19.9348380798862,32.389974216525644,47.11158275604248,24.74403381347656,32.56566524505615,34.07413959503174,62.01772212982178,15.462922876105186,1.0131458449008726,10,10,10,10
219,1.294756094743661,6.25,2.1425287888796527,0.48511931969271915,22.65625,1.8724571428571428,16.76461746031746,0.5550210348700426,34.276271878566334,58.56890736807448,21.145842751138844,9.159882368597511,29.174701482786432,36.66711330413818,33.49094034398702,48.01653351266092,29.268592775527697,17.929042214139674,29.85882121340736,44.07605648040772,24.7033166885376,32.10137367248535,34.07666206359863,62.17018127441406,8.028858731647588,0.590228437879663,9,9,9,9
192,1.2368321472444443,6.25,2.1644688605563887,0.4774512040125057,22.65625,1.8724571428571428,17.149188849816852,0.4785541292809234,38.704114235690206,70.12775687811275,18.61866383599893,25.86167341117592,25.83704651940776,35.56424617767334,35.38292750948093,45.46485787432175,27.669268902779248,16.959393862634897,28.262217696148745,41.10273838043213,24.76747035980225,28.108220100402832,34.06808376312256,62.07406997680664,-0.02462689176816113,0.5929487933694979,8,7,7,5
165,1.16208226718592,5.859375,2.165365070993417,0.4771381772039372,22.65625,1.7554285714285713,17.42541378754579,0.40036089967931043,42.19053275166542,63.93754882446956,16.900501296428654,23.710929444253757,23.70199982745006,33.78816604614258,36.83200489081147,45.3133103340709,26.594285169267096,17.941699111058067,27.15030047819828,41.311469078063965,24.740242958068848,27.588391304016117,33.92887115478516,61.78241729736328,-0.008929616803698082,0.5560153089311832,6,5,5,2
136,0.9642755321450247,6.25,2.18224101584365,0.47124740097659745,22.65625,1.8724571428571428,18.12885365079365,0.2837608142015257,42.91560228200727,60.89450532454066,15.741202587378211,22.55251575843431,23.301548780063573,34.53472137451172,39.20328293430144,46.38925608984815,24.897351181910683,20.66971570699631,25.508067823703524,42.21760749816895,24.744186401367188,28.609414100646973,33.874149322509766,61.92018032073975,0.7490330216292627,0.6107166417928411,1,3,3,6
122,1.018264045542982,5.46875,2.190226493963319,0.4684626501482429,22.65625,1.6384,18.15308956776557,0.2324026748298375,48.626268382655965,54.04890974265678,13.555504512623884,20.541161536433112,20.565016260977995,32.42640972137451,40.41774323757287,48.24047812629336,24.244723511704557,23.26472129789181,24.741609003799766,44.05955791473389,24.75806713104248,29.33556079864502,34.06598091125488,62.07218170166016,0.0238547245448828,0.4968854920952097,3,2,2,7
158,1.170095843491442,6.25,2.1908989582557035,0.4682282309936793,22.65625,1.8724571428571428,17.592267648351648,0.39045380361653953,41.402547141690064,65.03465216277012,17.05193058781636,24.15589878607231,24.15310334839413,34.46263313293457,36.8036716479307,45.57373091908327,26.558485473894205,18.180541340067677,27.171202090001948,41.69578552246094,24.702458381652832,28.092212677001957,34.02176380157471,62.10671424865723,-0.00279543767818069,0.6127166161077433,7,6,6,4
118,1.018252369681765,5.46875,2.191531118045495,0.4680078746608093,22.65625,1.6384,18.153167086691088,0.2323872612225831,49.316424400797175,53.445182745538965,13.431830438397204,20.25190175239307,20.277220259785004,32.34830379486084,40.75410892683622,47.53433091294331,24.088052998801384,22.727435740913887,24.53740313143024,42.535719871521,24.794063568115234,27.992539405822757,33.8006067276001,61.99648857116699,0.02531850739193331,0.4493501326288545,2,1,1,3
